Language,flores_code,language_code
Acehnese (Arabic script),ace_Arab,ace
Acehnese (Latin script),ace_Latn,ace
Mesopotamian Arabic,acm_Arab,acw
Ta’izzi-Adeni Arabic,acq_Arab,acx
Tunisian Arabic,aeb_Arab,aeb
Afrikaans,afr_Latn,af
South Levantine Arabic,ajp_Arab,ajp
Akan,aka_Latn,ak
Amharic,amh_Ethi,am
North Levantine Arabic,apc_Arab,apc
Modern Standard Arabic,arb_Arab,ar
Modern Standard Arabic (Romanized),arb_Latn,ar
Najdi Arabic,ars_Arab,ars
Moroccan Arabic,ary_Arab,ary 
Egyptian Arabic,arz_Arab,arz
Assamese,asm_Beng,as
Asturian,ast_Latn,ast
Awadhi,awa_Deva,awa 
Central Aymara,ayr_Latn,ayr
South Azerbaijani,azb_Arab,azb
North Azerbaijani,azj_Latn,az
Bashkir,bak_Cyrl,ba
Bambara,bam_Latn,bm
Balinese,ban_Latn,ban
Belarusian,bel_Cyrl,be
Bemba,bem_Latn,bem
Bengali,ben_Beng,bn
Bhojpuri,bho_Deva,bho
Banjar (Arabic script),bjn_Arab,bjn
Banjar (Latin script),bjn_Latn,bjn  
Standard Tibetan,bod_Tibt,bo
Bosnian,bos_Latn,bs
Buginese,bug_Latn,bug
Bulgarian,bul_Cyrl,bg
Catalan,cat_Latn,ca  
Cebuano,ceb_Latn,ceb
Czech,ces_Latn,cs
Chokwe,cjk_Latn,cjk
Central Kurdish,ckb_Arab,ckb
Crimean Tatar,crh_Latn,crh
Welsh,cym_Latn,cy
Danish,dan_Latn,da
German,deu_Latn,de
Southwestern Dinka,dik_Latn,dik
Dyula,dyu_Latn,dyu   
Dzongkha,dzo_Tibt,dz
Greek,ell_Grek,el
English,eng_Latn,en
Esperanto,epo_Latn,eo
Estonian,est_Latn,et
Basque,eus_Latn,eu
Ewe,ewe_Latn,ee
Faroese,fao_Latn,fo  
Fijian,fij_Latn,fj
Finnish,fin_Latn,fi 
Fon,fon_Latn,fon
French,fra_Latn,fr
Friulian,fur_Latn,fur
Nigerian Fulfulde,fuv_Latn,ff
Scottish Gaelic,gla_Latn,gd
Irish,gle_Latn,ga
Galician,glg_Latn,gl
Guarani,grn_Latn,gn
Gujarati,guj_Gujr,gu
Haitian Creole,hat_Latn,ht
Hausa,hau_Latn,ha  
Hebrew,heb_Hebr,he
Hindi,hin_Deva,hi
Chhattisgarhi,hne_Deva,hne
Croatian,hrv_Latn,hr
Hungarian,hun_Latn,hu 
Armenian,hye_Armn,hy
Igbo,ibo_Latn,ig  
Ilocano,ilo_Latn,ilo
Indonesian,ind_Latn,id
Icelandic,isl_Latn,is
Italian,ita_Latn,it  
Javanese,jav_Latn,jv
Japanese,jpn_Jpan,ja
Kabyle,kab_Latn,kab
Jingpho,kac_Latn,kac
Kamba,kam_Latn,kam  
Kannada,kan_Knda,kn  
Kashmiri (Arabic script),kas_Arab,ks 
Kashmiri (Devanagari script),kas_Deva,ks
Georgian,kat_Geor,ka
Central Kanuri (Arabic script),knc_Arab,knc  
Central Kanuri (Latin script),knc_Latn,knc
Kazakh,kaz_Cyrl,kk
Kabiyè,kbp_Latn,kbp
Kabuverdianu,kea_Latn,kea    
