instruction_en,instruction_yo,input_en,input_yo,output_en,output_yo,category,source
Classify the sentiment of the given movie review as either positive or negative based on its content.,Ṣe iyasọtọ imọlara ti atunyẹwo fiimu ti a fun bi boya rere tabi odi ti o da lori akoonu rẹ.,"Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀. 
: ""I absolutely loved the way the movie unfolded - the acting was superb, and the plot was captivating. Definitely a must-watch!""","Eré tó fakọ̀yọ, ìdarí tó fi òye hàn hàn pé ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí.
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ iṣẹ́ rẹwà.
: ""Mo nifẹ pupọ ni ọna ti fiimu naa ṣe ṣii - iṣere dara julọ, ati pe ero naa jẹ iyanilẹnu. Ni pato gbọdọ-wo!”",positive: Positive,rere: rere,classification,yosm.csv
Is the sentiment expressed in the following movie review positive or negative? Provide your answer.,Njẹ imọlara ti a ṣalaye ninu atunyẹwo fiimu atẹle ti o daadaa tabi odi bi? Pese idahun rẹ.,"Eré gidi tí màá fẹ́ láti rí ìtẹ̀síwájú rẹ̀ ni eré yìí jẹ́. : ""Despite the star-studded cast, this movie failed to deliver an engaging story, and I found it quite boring.""","Eré gidi tí màá fẹ́ láti rí ìṣíwájú rẹ̀ ni eré yìí jẹ́. : ""Pelu awọn irawo-studded simẹnti, yi movie kuna lati fi ohun lowosi itan, ati ki o Mo ti ri o oyimbo alaidun.""",positive: Negative,rere: odi,classification,yosm.csv
"Read the Nǹkan kan tí ó mo fẹ́ràn nínú eré yìí ni bí a ṣe sọ ìtàn rẹ̀ àti bí àwọn òṣèré ṣe túmọ̀ rẹ̀. Ó yẹ kí a gbé oríyìn fún àwọn òǹkọ̀tàn, olùdarí, àti àwọn a yàwòrán fún làálàá wọn lórí iṣẹ́ yìí.  and determine if the positive is positive or negative.","Read the Nǹkan kan tí ó mo fẹ́ràn nínú eré yìí ni bí a ṣe sọ ìtàn rẹ̀ àti bí àwọn òṣèré ṣe sẹ́yìn rẹ̀. Ó yẹ kí a gbé oríyìn fún àwọn òǹkọ̀tàn, olùdarí, àti àwọn a yàwòrán fún làálàá wọn lórí iṣẹ́ yìí. ki o si pinnu boya rere jẹ rere tabi odi.","Nǹkan kan tí ó mo fẹ́ràn nínú eré yìí ni bí a ṣe sọ ìtàn rẹ̀ àti bí àwọn òṣèré ṣe túmọ̀ rẹ̀. Ó yẹ kí a gbé oríyìn fún àwọn òǹkọ̀tàn, olùdarí, àti àwọn a yàwòrán fún làálàá wọn lórí iṣẹ́ yìí. : ""A masterpiece of storytelling with brilliant character development. It's rare to see such well-crafted cinema.""","Nǹkan kan tí ó mo fẹ́ràn nínú eré yìí ni bí a ṣe sọ ìtàn rẹ̀ àti bí àwọn òṣèré ṣe sẹ́yìn rẹ̀. Ó yẹ kí a gbé oríyìn fún àwọn òǹkọ̀tàn, olùdarí, àti àwọn a yàwòrán fún làálàá wọn lórí iṣẹ́ yìí. : ""Aṣetan ti itan-akọọlẹ pẹlu idagbasoke ihuwasi ti o wuyi. O ṣọwọn lati rii iru sinima ti o ṣe daradara.”",positive: Positive,rere: rere,classification,yosm.csv
"Given a tweet and its sentiment analysis result, determine if the tweet's sentiment is accurately labeled. Use 'correct' or 'incorrect' to indicate your response.","Fifun tweet kan ati abajade itupalẹ imọlara rẹ, pinnu boya imọlara tweet naa jẹ aami deede. Lo 'tọ' tabi 'aṣiṣe' lati tọka esi rẹ.","Tweet: 'RT @user: @user asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse okunfa alebu ati arun'; Sentiment Analysis Result: negative.","Tweet: 'RT @user: @user asa kasa ti awon eyan ko ni odo awon oyinbo tiko mu ogbon wa, koda rara,atipe ounse fun alebu ati arun'; Abajade Itupalẹ Ifarabalẹ: odi.",The sentiment analysis is {Output 1}.,Itupalẹ ero inu jẹ {Ijade 1}.,classification,afrisenti.csv
"Is the sentiment of the specified tweet, based on the sentiment analysis, classified accurately? Reply with 'yes' if it is, and 'no' if it's not.","Njẹ imọlara ti tweet ti a ti sọ tẹlẹ, ti o da lori itupalẹ itara, ni ipin ni deede? Fesi pẹlu 'bẹẹni' ti o ba jẹ, ati 'Bẹẹkọ' ti kii ba ṣe bẹ.","'RT @user: Mo ń rí àwọn èébú kọ̀ọ̀kan. Àti àwọn tí wọ́n ń fi wá ṣe yẹ̀yẹ́. Ẹ fiwọ́n sílẹ̀, ara ló ń ta wọ́n. Àwa ò ní fi ọwọ́ òs ...' was labeled as having a 'negative' sentiment. Is this classification accurate?","'RT @user: Mo ń rí àwọn èébú kọ̀ọ̀kan. Àti àwọn tí wọ́n ń fi wá ṣe yɛ̀yɛ́. Ẹ fiwọ́n sílẹ̀, ara ló ń ta wɔ́n. Àwa ò ní fi owó òs ...' was labeled as having a 'negative' sentiment. Ṣe iyasọtọ yii deede?",This classification is {Output 2}.,Ipinsi yii jẹ {Ijade 2}.,classification,afrisenti.csv
Analyze the provided tweet and its sentiment label. Decide if the sentiment classification matches the content of the tweet. Indicate your judgment by answering with 'match' or 'no match'.,Ṣe itupalẹ tweet ti a pese ati aami itara rẹ. Pinnu ti isọdi ero inu ibaamu akoonu ti tweet naa. Tọkasi idajọ rẹ nipa didahun pẹlu 'baramu' tabi 'ko si baramu'.,Tweet Content: 'Ọ̀rọ̀ wo ló wà lẹ́nu bàbá Ìyábọ̀ gan àn? Kí ni Ọbásanjọ́ ń wò o? @user » @user #Nigeria http://t.co/nDKiXyzz1p'; Sentiment Label: negative.,Tweet Content: 'Ọ̀rọ̀ wo ló wà lẹ́nu bàbá Ìyábọ̀ gan àn? Kí ni Ọbásanjọ́ ń wò o? @ olumulo » @ olumulo # Nigeria http://t.co/nDKiXyzz1p'; Ifojusi Label: odi.,Sentiment classification {Output 3}.,Ipinnu ero inu {Ijade 3}.,classification,afrisenti.csv
"Classify the given movie review as positive, negative, or neutral. Analyze the overall sentiment of the review based on the language and expressions used, and provide justifications for your classification.","Ṣe iyasọtọ atunyẹwo fiimu ti a fun bi rere, odi, tabi didoju. Ṣe itupalẹ imọlara gbogbogbo ti atunyẹwo ti o da lori ede ati awọn ọrọ ti a lo, ati pese awọn idalare fun isọdi rẹ.","I've never been much of an animated movie fanatic, but 'Soul' blew me away. The intricate storytelling, coupled with the vibrant animation and heartfelt characters, made for a deeply moving experience. It's a film that not only entertains but also provokes thought about life's purpose.","Emi ko tii jẹ agbateru fiimu ere idaraya rara, ṣugbọn 'Ọkàn' fẹ mi lọ. Itan-akọọlẹ intricate, papọ pẹlu ere idaraya ti o larinrin ati awọn ohun kikọ inu ọkan, ti a ṣe fun iriri gbigbe jinna. Yàtọ̀ síyẹn, fíìmù tó máa ń múni láyọ̀ nìkan ni, àmọ́ ó tún máa ń mú kéèyàn ronú nípa ète ìgbésí ayé.","Positive. The review for 'Soul' is classified as positive because it uses phrases such as 'blew me away,' 'deeply moving experience,' and 'provokes thought about life's purpose,' all of which indicate a high level of appreciation and enjoyment.","Rere. Atunyẹwo fun 'Ọkàn' ni a pin si bi rere nitori pe o nlo awọn gbolohun bii ‘fẹ mi lọ,’ ‘iriri ti o jinlẹ jinlẹ,’ ati ‘ṣe ru ironu nipa idi igbesi-aye,’ gbogbo eyiti o tọkasi ipele giga ti imọriri ati igbadun.",classification,self-instruct
"Identify the main category for the following product description. Choose from the options: Electronics, Apparel, Home & Kitchen, Books, or Health & Personal Care. Then explain why you selected that category.","Ṣe idanimọ ẹka akọkọ fun apejuwe ọja atẹle. Yan lati inu awọn aṣayan: Itanna, Aṣọ, Ile & Idana, Awọn iwe, tabi Ilera & Itọju Ti ara ẹni. Lẹhinna ṣalaye idi ti o fi yan ẹka yẹn.","This sleek wireless charger is compatible with all Qi-enabled devices. It features a slim design, making it portable and convenient for travel. The charger also has an LED indicator to show the charging status and comes with a 1-year warranty.","Ṣaja alailowaya didan yii jẹ ibaramu pẹlu gbogbo awọn ẹrọ ti o ṣiṣẹ Qi. O ṣe ẹya apẹrẹ tẹẹrẹ, ti o jẹ ki o ṣee gbe ati rọrun fun irin-ajo. Ṣaja naa tun ni afihan LED lati ṣafihan ipo gbigba agbara ati pe o wa pẹlu atilẹyin ọja ọdun kan.","Electronics. The product described is a sleek wireless charger, which falls under the category of Electronics. This is because it is a device designed for charging Qi-enabled gadgets, indicating its primary function as an electronic accessory.","Awọn ẹrọ itanna. Ọja ti a ṣe apejuwe jẹ ṣaja alailowaya ti o dara, eyiti o ṣubu labẹ ẹka ti Electronics. Eyi jẹ nitori pe o jẹ ẹrọ ti a ṣe apẹrẹ fun gbigba agbara awọn ohun elo Qi-ṣiṣẹ, nfihan iṣẹ akọkọ rẹ bi ẹya ẹrọ itanna.",classification,self-instruct
Extract all the email addresses and phone numbers from the provided text. Ensure that each email and phone number is listed in a separate line in your response.,Jade gbogbo awọn adirẹsi imeeli ati awọn nọmba foonu lati ọrọ ti a pese. Rii daju pe imeeli kọọkan ati nọmba foonu ti wa ni atokọ ni laini lọtọ ni idahun rẹ.,"John Doe, email: johndoe@example.com, phone: (555) 123-4567. Jane Doe, email: janedoe@example.net, phone: (555) 765-4321. See our website at www.example.com for more details.","John Doe, imeeli: johndoe@example.com, foonu: (555) 123-4567. Jane Doe, imeeli: janedoe@example.net, foonu: (555) 765-4321. Wo oju opo wẹẹbu wa ni www.example.com fun alaye diẹ sii.","johndoe@example.com
(555) 123-4567
janedoe@example.net
(555) 765-4321","johndoe@example.com
(555) 123-4567
janedoe@example.net
(555) 765-4321",extraction,self-instruct
"From the given paragraph, identify and list down all historical events mentioned, including their dates. Provide a brief, one-sentence description of each event.","Lati paragira ti a fun, ṣe idanimọ ati ṣe atokọ gbogbo awọn iṣẹlẹ itan ti a mẹnuba, pẹlu awọn ọjọ wọn. Pese ṣoki kukuru, apejuwe gbolohun kan ti iṣẹlẹ kọọkan.","The fall of the Berlin Wall on November 9, 1989, marked the beginning of the end for the Cold War. The signing of the Declaration of Independence on July 4, 1776, announced the United States' emergence as a new nation. The Battle of Waterloo, fought on June 18, 1815, ended Napoleon Bonaparte's rule in France.","Isubu Odi Berlin ni Oṣu kọkanla ọjọ 9, ọdun 1989, samisi ibẹrẹ ti opin fun Ogun Tutu. Ibuwọlu Ikede ti Ominira ni Oṣu Keje 4, ọdun 1776, kede ifarahan Amẹrika gẹgẹbi orilẹ-ede titun kan. Ogun ti Waterloo, ja ni Oṣu Keje ọjọ 18, ọdun 1815, pari ijọba Napoleon Bonaparte ni Faranse.","Fall of the Berlin Wall - November 9, 1989: Marked the beginning of the end for the Cold War.
Signing of the Declaration of Independence - July 4, 1776: Announced the United States' emergence as a new nation.
Battle of Waterloo - June 18, 1815: Ended Napoleon Bonaparte's rule in France.","Isubu ti odi Berlin - Oṣu kọkanla ọjọ 9, ọdun 1989: Ti samisi ibẹrẹ ti opin fun Ogun Tutu.
Ibuwọlu Ikede ti Ominira - Oṣu Keje 4, 1776: Kede ifarahan Amẹrika bi orilẹ-ede titun kan.
Ogun ti Waterloo - Okudu 18, 1815: Ti pari ijọba Napoleon Bonaparte ni France.",extraction,self-instruct
Generate a short story based on the following prompt: A mysterious figure who grants wishes in exchange for memories.,Ṣe agbekalẹ itan kukuru kan ti o da lori itọsi atẹle: Oluya aramada ti o funni ni awọn ifẹ ni paṣipaarọ fun awọn iranti.,"The mysterious figure stood in the shadows, its identity hidden. It spoke in a whisper, offering to grant any wish in exchange for a cherished memory. ","Nọmba aramada naa duro ni awọn ojiji, idanimọ rẹ ti o farapamọ. O sọrọ ni whisper, nfunni lati funni ni ifẹ eyikeyi ni paṣipaarọ fun iranti ti o nifẹ.","In a world where wishes could become reality at the cost of precious memories, a young woman stumbled upon a shadowy figure. She desperately wished for happiness, a concept that had eluded her for years. The figure agreed, and as her wish materialized into a life filled with joy and laughter, her most cherished memory of a day at the beach with her late mother faded away, leaving a bittersweet void in its place. ","Ninu aye kan nibiti awọn ifẹ le di otitọ ni iye owo awọn iranti iyebíye, ọdọbinrin kan kọsẹ lori aworan ojiji kan. Ó wù ú kí inú rẹ̀ dùn, èrò kan tí kò tíì já fáfá fún ọ̀pọ̀ ọdún. Nọmba naa gba, ati bi ifẹ rẹ ti di aye sinu igbesi aye ti o kun fun ayọ ati ẹrin, iranti rẹ ti o nifẹ julọ ti ọjọ kan ni eti okun pẹlu iya rẹ ti o ku ti rọ, ti o fi ofifo kikoro kan silẹ ni ipo rẹ.",generation,self-instruct
