variable_1,variable_2
"Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀. 
",positive
Eré gidi tí màá fẹ́ láti rí ìtẹ̀síwájú rẹ̀ ni eré yìí jẹ́. ,positive
"Nǹkan kan tí ó mo fẹ́ràn nínú eré yìí ni bí a ṣe sọ ìtàn rẹ̀ àti bí àwọn òṣèré ṣe túmọ̀ rẹ̀. Ó yẹ kí a gbé oríyìn fún àwọn òǹkọ̀tàn, olùdarí, àti àwọn a yàwòrán fún làálàá wọn lórí iṣẹ́ yìí. ",positive
"Tí o bá gbádùn ""Godfather"", a jẹ́ pé wà á gbádùn èyí. Ìtàn eré náà rẹwà bẹẹni ẹ̀hun rẹ̀ pàápàá lọ́wọ́ ẹ̀yìn wúni lórí jọjọ ṣùgbọ́n àwọn abala kan wà tí kò lè ṣẹlẹ̀ lójú ayé. Èyí sì ni àléébù tí eré yìí ni. Àmọ́ ju gbogbo rẹ̀ lọ àhunpọ̀ itan yìí fakíki. ",positive
"Màá fún ere yìí ni ẹẹ́sàn an lórí òṣùwọ̀n Nollywood nítorí ìtàn ere náà jẹ àrà ọ̀tọ, bẹ́ẹni àgbéjáde rẹ̀ tó jẹ́ kó yàtọ̀ sí gbogbo àwọn eré àgbéléwò yòókù ni ilẹ̀ Nàìjíríà ",positive
Ìyàwó mi ló sọ fún mi nípa ere yìí. Ere gidi tí a fi ọgbọ́n sàgbékalẹ̀ rẹ ni. Àwọn akópa ṣeré náà dáadáa bẹ́ẹ̀ sì ni àgbéjáde rẹ wuyì. ,positive
"Eré ṣíṣe tó fakọyọ, ìdarí tó fi òye hàn ṣùgbọ́n ìtàn yìí kò fi bẹ́ẹ̀ wúni lórí. 
Mo ní láti sí a sì àkáǹtì kí n lè ṣe àgbéyẹ̀wô eré yìí. Iṣẹ́ yìí rẹwà púpọ̀.
",positive
"Ọ̀kan lára fíìmù tí a ṣe tó dára jù ni ọdún 2017 ni “Isoken”. Ere yìí sàfihàn àṣà tó wà ní agbègbè orílè-èdè tí a ti se é jáde. Àlàkalẹ̀ eré naa ati, ìgbàwòran jáde, àti àwọ̀ àti aṣọ ló se àfihàn àṣà ìbílẹ̀ ni. Ère yìí tún ní ọ̀kan ò jọ̀kan abala ti tó lè pa ènìyàn lẹrin ín. ",positive
Gbogbo abala ere yìí ló dára. Ìbá dára tí a bá lè rí apá kejì rẹ̀. ,positive
Tipátipá ni a fi lè rí ojú ìṣẹ́jú márùn-ún tí kò pa ènìyàn lẹ́rìn-ín. N kò rò pé ere àgbéléwò kankan wà ní Nàìjíríà tó lè borí fíìmù yìí. Iṣẹ́ eré yìí kúnjú òṣùwọ̀n.,positive
"Mo fẹ́ràn ere yìí. Mo gbádùn ara mi dáadáa bí ó tilẹ̀ jẹ́ pé ó ní àwọn àléébù díẹ̀, ó sì dára láti wò.",positive
Eré àgbéléwò onígbàdún uǹ,positive
Èyí tó dára jùlọ,positive
"Ó dára gan-an ni, ó fẹ́rẹ̀ jẹ́ pé gbogbo abala ere náà ló gbádùn.",positive
"Nínú eré tó dàbí eni ti o tó yẹ kó jẹ́ ere tí à ń sáfihàn rẹ̀ díẹ̀díẹ̀, a rí ìbáṣepọ̀ lásán to sì tẹ̀síwájú di ẹbí láàrin ọkùnrin àti obìnrin.",positive
"Bí ó tilẹ̀ jẹ́ pé kì í ṣe irú fíìmù tí mo fẹ́ràn, àwọn òṣèré tí mo fẹ́ràn ló ṣe é.",positive
Mo máa ń gbóríyìn fún fíìmù tó fi okùn ìfẹ́ tó gbópọn sáàárín àwọn ọmọbìnrin méjì tí ọ̀pọ̀lọpọ̀ nǹkan so papọ̀ ṣùgbọ́n tó jẹ́ pé ọ̀rọ̀ ìfẹ́ àti òṣèlú ló yà wọ́n sọ́tọ̀. Àwọn òṣèré tó kópa nínú eré yìí fakọyọ. Oníkálukú wọn ló kó ipa tirẹ̀ dáadáa.,positive
"Àgbéjáde ere yìí dára ṣùgbọ́n ìtàn rẹ̀ kò dára tó. 
Wọ́n ṣeré yìí dáadáa. Àyànfẹ́ ni Charley Boy láti wò lórí ẹ̀rọ ayàwòrán. Isẹ ńlá tí Kemi Atiba ṣe nìyí. Inú mi dùn pé mo ní ààyè láti wo ere yìí",positive
"Èyí dára.
Hmmm... Ere àgbéléwò gidi nìyí, kò jù bẹ́ẹ̀ lọ.",positive
"Ó dára fún ìgbà àkọ́kọ́. 
Bí ó tilẹ̀ jẹ́ pé ẹ̀hun rẹ̀ já gaara díẹ̀, kò sí nnkan tuntun nínú eré náà. Ohun ni fíìmù àgbéléwò tó dá lórí Kérésìmesì ni Nàìjíríà. Ere yìí dùn díẹ̀.",positive
"Ere apanilẹ́rìn-ín lórí Kérésìmesì. 
Ere yìí kún fún ẹ̀rín àríntàkìtì.",positive
"Ojúlówó ere tí kò dára rárá nìyí. 
 
Ìtàn yìí ní àbùdá tó dára. 
Lóòótọ́ mo fẹ́ràn ere yìí, ṣùgbọ́n gẹ́gẹ́ bí ó olólùfẹ́ sinimá ilẹ̀ òkèèrè, ère yìí dàbí èyí tí a dàkọ.",positive
"Apanilẹ́rìn-ín.
 
Ó kún fún ẹ̀rín àti ere ṣíṣe gidi. 
 
Mo fẹ́ràn bí olú ẹ̀dá-ìtàn ṣe fi gbogbo ara ṣiṣẹ́ àti bí àwọn obìnrin ṣe kojú àwọn ọkùnrin.",positive
"Ere ònídàákúrekú ṣùgbọ́n àtúnṣe rẹ̀ ìbá dára fún ìtàn gidi. 
 
Mo gbóríyìn fún olùdarí ere yìí (Ramsey Nouah) àti ọ̀nà ìṣeré rẹ̀",positive
"Fíìmù apanilẹ́rìn-ín
 
Ere yìí kún fún ẹ̀rín. Mo kàn ń rẹ́rìn ni láti ìbẹ̀rẹ̀ dé òpin.",positive
"Ó ní pé, ó ní pé",positive
Àìgbọdọ̀máwò ni ere yìí. Ó kan ojú abẹ níkòó ó sì sàgbékalẹ̀ ẹ̀kọ́ tó wà nínú rẹ̀.,positive
Kò burú ṣùgbọ́n ó ti pẹ́jù,positive
"POV tuntun 
Kì í ṣe irú sinima ilẹ̀ òkèèrè tí a mọ̀. Kì í ṣe pé ìgbéjáde rẹ̀ sọ̀rọ̀ nípa ìtàn tí a fẹ́ gbésókè nìkan, ó tún sàfihàn àṣà agbègbè tí a ti ṣe eré náà",positive
FÍÌMÙ TO GBÁMÚSÉ PẸ̀LÚ ORÍYÍN DIẸ́,positive
"Láìsí àníàní, àwọn òǹwòran yóò gbádùn ere ""The Wedding Party"" tí Kemi Adetiba ṣe. Ere lọ́kọláya apanilẹ́rìn tó ní èròjà ilẹ̀ òkèèrè nínú.",positive
"Lákòótán, ó jẹ́ ìtàn ayé òde-òní tó fanimọ́ra ṣùgbọ́n tó sàjèjì sí àwọn mìíràn. Ere yìí fún wa ní ìmọ̀ nípa Nàìjíríà òde òní.",positive
Ere tí àgbékalẹ̀ rẹ dára ṣùgbọ́n tí ó tiraka láti sàfihàn àmúyẹ ere apanilẹ́rìín àti dírámà pẹ̀lú èrò láti ni ipa mọ́nigbàgbé.,positive
"Ó yẹ kí á lu àwọn ènìyàn yìí lọ́gọ ẹnu fún ere yìí. Bí ṣíṣe ere náà tilẹ̀ lágbára síbẹ̀ síbẹ̀ wọ́n ṣe é. Ó yẹ kí a gbóríyìn fún èyí. Bákan náà, kì í ṣe eré àgbéléwò Nàìjíríà nìyí. Ere olólùfẹ́ apanilẹ́rìn-ín tó ní ogún òyìnbó aláwọ̀ funfun ni fíìmù yìí.",positive
"Ere gidi.
 
Eré tí Ìtàn rẹ lágbára nìyí. Ó yẹ láti wò. Mo rọ yín láti wò ó.",positive
"Ó dára jù... 
Mo gba ti ere àgbéléwò Nàìjíríà yìí. Ẹ̀hun rẹ̀ tí dára jù.",positive
"Ó gajù
 
Fíìmù yìí ti jẹ́ kí n yí ọkàn mi padà nípa nǹkan tó dára. Ere tó fakọyọ ni. Ere yìí fà nílẹ̀ díẹ̀ ní ìbẹ̀rẹ̀ ṣùgbọ́n ó wuyì láti wò. Ìrántí àwọn abala tó ti kọjá jẹ́ kí ìparí ere náà túnbọ̀ dùn nítorí pé gbogbo nǹkan kàn ń ṣẹlẹ̀ papọ̀ ni.",positive
"Ere tó dára púpọ̀ fún àwọn ọmọdé láti wò. 
 
Ere tó dára púpọ̀ fún àwọn ọmọdé láti wò ni Mirror Boy. Ere tó dùn tí a ṣe dáadáa tó sì kọ àwọn ọmọdé lẹ́kọ̀ọ́ ni ere yìí. Orin inú ere náà rẹwà ó sì dùn láti gbọ́.",positive
Àwọn ìtàn rẹ̀ tó fọ́nká padà ní ipa tó jinlẹ̀.,positive
"Ìtàn tó yẹ láti sọ 
Ìtúpalẹ̀ tó dára fún UK- lásìkò wàhálà 
-Ere ṣíṣe tó fakíki láti ọwọ́ Beckinsale. Gbajúgbajà ni ere yìí.",positive
"Eléyìí lágbára. 
 
Màá fẹ́ kí ẹnikẹ́ni tó bá fẹ́ràn àkọlé yìí wo ere yìí, tàbí ẹnikẹ́ni tó bá fẹ́ràn fíìmù gidi.",positive
"Àlàyé lè má jẹ́ ọ̀nà tó dára láti sàgbékalẹ̀ ìtàn, àmọ́ sá Desmond Idris sàgbékalẹ̀ ere yìí dáadáa bẹ́ẹ̀ sì ni ó jẹ́ ìtàn àsọtúnsọ.",positive
"Ohùn orin tí a kò retí rárá ni fíìmù yìí lò, àfi bí i ìtàn àròsọ. Ìtàn aṣẹ̀rùbani tó lágbára ni bẹ́ẹ̀ sì ni jàgídíjàgan pọ̀ nínú rẹ̀. Àmọ́ sá, ere sọ pàtàkì òótọ́ àti ìfaradà.",positive
"... òní àwọn ìran mọ́nıgbàgbé, ṣùgbọ́n ó kún fún ọ̀pọ̀lọpọ̀ kùdìẹ̀ kùdìẹ̀ tí kò fi ìdarí tó bá òde òní mú hàn.",positive
Ere to ń ru ènìyàn nínú tó sì fà nílẹ̀,positive
"Ìtàn tí a sọ pẹ̀lú ẹ̀dùn ọkàn àti ipá, ó yí àwọn iriri ìgbé ayé rẹ padà sí ìrísí ere tó ṣẹ̀ṣẹ̀ ń dìdelẹ̀lè láti sí ènìyàn lójú",positive
Ó wúni lórí àwọn pẹ̀lú ọ̀nà tí àwọn osere gbà láti sọ nípa ìbásepọ̀ wọn pẹ̀lú ìbínú tí kò farahàn rárá.,positive
"Mo fẹ́ràn rẹ̀
 
Fíìmù yìí ga jù. Ìtàn ere náà gbayì bẹ́ẹ̀ sì ni 
ère ṣíṣe rẹ̀ kò bàjẹ́",positive
"Nǹkan tuntun 
 
Pẹ̀lúpẹ̀lú u bí a kò ṣe gba ti ere yìí, mo lérò pé gbogbo wàhálà Namaste yẹ ní wíwò bí kò tilẹ̀ ju iṣẹ̀jú kan lọ fún ṣíṣe nǹkan tuntun tó yàtọ̀.",positive
Apákan India apákan Áfíríkà ni ìtàn yìí. Ó tuntun ó sì rẹwà ṣùgbọ́n ìtàn náà àti ṣíṣe rẹ̀ kò dára rárá.,positive
"Ó mó rí wu , ósì pa ni lẹ̀rín  bi wón ti ṣàpèjúwe àṣà méjèjì.  Mo ni idálaráyá jálè ! Erè àgbéléwò to jágeree ní è yìí.",positive
"Eré àgbéléwò dìdára lórí jákèjádò- orílè-èdè 
 
Oun kan pàtó tí mi ò  féràn nípa fíìmù yìí ni pé ko si ibásepò pẹlu ágbègbè orílè-èdè Nàìjíríà ati india bó ti  wu ó kéré mọ. 
 
Eré àgbéléwò ìfé tó lárindin lè yìí",positive
"Eré àgbéléwò to dára púpò nii , àti pé  gbogbo ènìyàn níi láti mò ní pa àwọn oun  ti àwọn ìjọba ń fi àyè gbà ká ka kiri àgbáyé",positive
Fíìmù Arie ati Chuko Esiri  yénii nípa àfojúsí àtúnṣe sí àwọn ìdíwó  tó wà  láti ṣe àṣeyọrí.,positive
"Mi ò ti wo fíìmù Nollywood ríi , tó fi jẹ́ pé ìgbà àkókó ti ma wò ó , ìwárìrì  nípaeré àgbéléwò láti ọwó  oolùdarí Biyi Bandele tí ń jẹ́ “Fifty"" mú mi káká. Nígbà ti mo wò ó dópin , ko féré yàtò si eré àgbéléwò ti ń je “Dynasty"" tí a wá ṣe ni ìṣe ti àwọn adúláwò.",positive
"Atayán yán eléyìí ṣò wọ́n , ṣùgbọ́n bí  ati ríi nínú eré àgbéléwò aládùn tí a ṣètò  dáradára tí ó si fani móra yìí, àṣà ati ìṣe  àwọn ènìyàn ti a korira yii sèfárahàn ti o ye .",positive
Èsì isé na je ki  àsà ati ìṣe parapò lati gbé àsà ati ìṣe won jade lọ́nà to dara.,positive
"Ó mu mí  mólè !!!
 
Mo gbádùn rẹ. Èyí jẹ́ eré àgbéléwò tó dára púpò to jáde wá lá́ti inú àwọn fíìmù Hollywood . Mi ò fi àkókò mi ṣòfò rara.",positive
